city,total_listings,avg_price,avg_reviews_per_month,est_annual_revenue_proxy
Santa Cruz County,1563,248.33,1.74,5186.44
Asheville,2070,155.96,2.68,5016.14
Nashville,6113,204.9,1.95,4782.76
Columbus,1382,142.77,2.33,3987.35
Portland,4274,134.98,2.26,3662.01
San Mateo County,2840,178.67,1.66,3559.06
San Diego,12210,209.98,1.39,3506.6
Twin Cities MSA,5974,311.17,0.94,3494.94
Rhode Island,3852,270.15,1.07,3484.95
Denver,4186,147.84,1.84,3268.81
New Orleans,6398,170.61,1.57,3213.06
Seattle,6564,151.47,1.62,2937.33
Clark County,8342,187.85,1.29,2911.79
Austin,10269,212.13,0.99,2513.27
Broward County,10760,201.16,1.04,2502.55
San Francisco,6984,193.59,1.06,2457.86
Cambridge,1026,158.63,1.26,2406.96
Chicago,6376,137.13,1.44,2369.36
Los Angeles,31052,168.07,1.17,2351.46
Hawaii,22104,252.39,0.74,2247.63
Boston,3329,164.5,1.14,2245.78
Washington D.C.,7300,159.76,1.16,2232.79
Jersey City,2485,134.87,1.16,1885.02
San Clara Country,7049,143.31,1.1,1883.82
Oakland,3191,126.63,1.05,1588.71
New York City,45541,136.65,0.68,1116.62
