city,neighbourhood,total_listings,avg_price,avg_reviews_per_month
Asheville,28704,121,168.43,2.16
Asheville,28715,44,159.48,2.98
Asheville,28732,43,184.84,2.77
Asheville,28801,532,174.33,2.29
Asheville,28803,281,151.46,2.96
Asheville,28804,254,175.52,2.76
Asheville,28805,219,155.47,2.66
Asheville,28806,576,127.69,2.96
Austin,78701,738,268.31,0.83
Austin,78702,1299,257.5,1.38
Austin,78703,501,306.55,1.0
Austin,78704,1865,253.11,1.02
Austin,78705,455,172.59,0.78
Austin,78717,88,104.49,0.53
Austin,78721,198,149.98,1.72
Austin,78722,196,183.67,1.05
Austin,78723,310,176.21,0.91
Austin,78724,60,151.18,0.98
Austin,78725,49,115.94,1.05
Austin,78727,110,105.04,0.81
Austin,78728,69,131.86,0.75
Austin,78729,155,106.59,0.59
Austin,78730,59,200.14,0.23
Austin,78731,125,243.55,0.91
Austin,78732,47,485.49,0.96
Austin,78733,57,290.11,1.08
Austin,78734,221,341.01,1.44
Austin,78735,106,146.51,0.17
Austin,78736,46,280.67,1.17
Austin,78737,78,269.24,1.85
Austin,78738,38,314.39,0.88
Austin,78739,24,370.38,0.6
Austin,78741,653,162.39,0.91
Austin,78744,153,118.91,1.3
Austin,78745,476,152.9,0.79
Austin,78746,220,389.18,0.62
Austin,78747,40,126.28,0.52
Austin,78748,146,130.75,0.84
Austin,78749,126,162.83,0.77
Austin,78750,41,148.44,0.81
Austin,78751,450,126.77,0.92
Austin,78752,107,140.73,1.28
Austin,78753,95,103.29,1.06
Austin,78754,108,100.49,0.71
Austin,78756,113,172.14,1.19
Austin,78757,212,159.79,0.86
Austin,78758,312,103.97,0.69
Austin,78759,101,168.92,0.78
Boston,Allston,176,103.39,1.69
Boston,Back Bay,206,192.89,1.13
Boston,Bay Village,66,150.21,1.44
Boston,Beacon Hill,117,172.79,1.33
Boston,Brighton,259,130.29,0.64
Boston,Charlestown,94,230.35,0.93
Boston,Chinatown,122,206.13,0.4
Boston,Dorchester,416,118.25,1.16
Boston,Downtown,300,201.77,1.03
Boston,East Boston,183,140.06,2.24
Boston,Fenway,136,341.37,0.58
Boston,Hyde Park,39,75.97,1.03
Boston,Jamaica Plain,264,154.61,0.94
Boston,Mattapan,47,82.19,1.28
Boston,Mission Hill,50,146.36,1.23
Boston,North End,71,196.3,1.71
Boston,Roslindale,62,101.61,1.07
Boston,Roxbury,252,112.23,1.25
Boston,South Boston,161,185.47,1.11
Boston,South Boston Waterfront,48,238.69,0.24
Boston,South End,182,180.98,1.47
Boston,West End,33,307.21,0.35
Boston,West Roxbury,36,227.33,1.06
Broward County,Coconut Creek,58,100.55,1.07
Broward County,Cooper City,44,108.7,0.97
Broward County,Coral Springs,116,196.88,0.65
Broward County,Dania Beach,323,232.36,1.24
Broward County,Davie,137,169.01,1.14
Broward County,Deerfield Beach,462,197.94,0.88
Broward County,Fort Lauderdale,2404,228.7,1.48
Broward County,Hallandale Beach,1020,237.18,0.62
Broward County,Hillsboro Beach,34,206.74,0.19
Broward County,Hollywood,2838,203.86,0.98
Broward County,Lauderdale By The Sea,277,228.71,1.02
Broward County,Lauderdale Lakes,37,110.16,0.98
Broward County,Lauderhill,75,99.73,0.88
Broward County,Lighthouse Point,41,246.41,0.95
Broward County,Margate,61,99.85,0.82
Broward County,Miramar,249,155.9,0.76
Broward County,North Lauderdale,48,103.94,0.71
Broward County,Oakland Park,259,190.85,1.3
Broward County,Parkland,22,120.41,1.21
Broward County,Pembroke Park,25,89.04,0.93
Broward County,Pembroke Pines,231,141.33,0.95
Broward County,Plantation,214,200.81,0.99
Broward County,Pompano Beach,989,176.92,0.65
Broward County,Sunrise,158,91.46,1.14
Broward County,Tamarac,76,275.25,0.67
Broward County,Unincorporated,39,175.26,0.64
Broward County,West Park,97,72.8,1.54
Broward County,Weston,112,156.76,0.33
Broward County,Wilton Manors,280,169.49,1.43
Cambridge,Agassiz,39,182.92,1.3
Cambridge,Area 2/MIT,29,162.66,0.35
Cambridge,Cambridgeport,152,145.88,1.69
Cambridge,East Cambridge,123,220.93,0.89
Cambridge,Mid-Cambridge,152,162.53,1.21
Cambridge,Neighborhood Nine,91,126.98,1.01
Cambridge,North Cambridge,87,142.71,1.2
Cambridge,Riverside,60,156.03,1.24
Cambridge,Strawberry Hill,30,173.5,0.72
Cambridge,The Port,108,151.81,1.51
Cambridge,Wellington-Harrington,82,127.06,1.87
Cambridge,West Cambridge,68,153.85,1.11
Chicago,Albany Park,68,88.0,1.47
Chicago,Armour Square,67,132.94,1.88
Chicago,Austin,49,97.69,1.3
Chicago,Avondale,148,132.61,1.46
Chicago,Belmont Cragin,25,87.0,0.57
Chicago,Bridgeport,112,111.89,1.88
Chicago,Brighton Park,26,96.85,1.54
Chicago,Douglas,58,139.52,1.21
Chicago,Dunning,26,73.12,1.61
Chicago,East Garfield Park,94,76.65,1.93
Chicago,Edgewater,170,110.15,1.58
Chicago,Grand Boulevard,105,116.48,1.11
Chicago,Greater Grand Crossing,29,84.07,1.13
Chicago,Humboldt Park,68,85.29,1.72
Chicago,Hyde Park,95,91.65,1.9
Chicago,Irving Park,154,94.28,1.47
Chicago,Jefferson Park,44,98.73,2.32
Chicago,Kenwood,42,142.71,1.45
Chicago,Lake View,531,167.86,1.56
Chicago,Lincoln Park,315,174.05,1.57
Chicago,Lincoln Square,91,109.75,1.77
Chicago,Logan Square,398,140.57,1.92
Chicago,Loop,369,172.74,0.89
Chicago,Lower West Side,190,90.72,2.05
Chicago,Mckinley Park,25,66.32,1.91
Chicago,Near North Side,679,187.53,0.99
Chicago,Near South Side,145,155.67,1.26
Chicago,Near West Side,320,149.33,1.22
Chicago,North Center,137,165.37,1.59
Chicago,North Lawndale,30,50.93,1.53
Chicago,North Park,27,106.56,1.46
Chicago,Norwood Park,29,69.76,1.9
Chicago,Portage Park,83,108.8,1.48
Chicago,Rogers Park,125,112.77,1.09
Chicago,South Chicago,21,103.43,0.65
Chicago,South Lawndale,42,69.0,1.42
